날짜 시간,pH (pH) (926722),pH mV (mV) (926722),ORP (mV) (926722),Actual Conductivity (μS/cm) (1041604),Specific Conductivity (μS/cm) (1041604),염도 (PSU) (1041604),저항력 (Ω?cm) (1041604),밀도 (g/cm³) (1041604),총 용존 고형물 (TDS) (ppt) (1041604),온도 (°C) (957959),압력 (psi) (956604),깊이 (m) (956604),표면 고도 (m) (956604),외부 전압 (V) (957959),대기압 (mbar) (958671),온도 (°C) (958671),위도 (°),경도 (°),표시됨
오후 2:57:13,7.2604084,-12.497907,151.01833,1.6719452,2.2201312,0.000177685,598530.2,0.99949163,0.001442131,12.072455,1.126689,0.9837743,-9.410508,17.210623,991.83105,43.031338,36.57849131,128.7639275,
오후 2:57:14,7.2597446,-12.497902,151.03624,1.6707351,2.2186716,0.000177221,598589.1,0.99949175,0.001442024,12.070658,1.233406,1.0575681,-9.335607,17.21801,991.83044,43.03926,36.57849131,128.7639275,
오후 2:57:15,7.2597027,-12.497902,151.03712,1.670583,2.218482,0.000177161,598629.1,0.9994918,0.001441933,12.070487,1.2403344,1.0623046,-9.330825,17.218294,991.82996,43.039352,36.57849131,128.7639275,
오후 2:57:16,7.2596607,-12.497902,151.03802,1.670431,2.2182927,0.0001771,598669.1,0.9994918,0.001441842,12.070315,1.2472627,1.0670412,-9.326042,17.21858,991.8295,43.039444,36.57849131,128.7639275,
오후 2:57:17,7.260758,-12.520999,151.03214,1.6721914,2.2207198,0.000177887,598028.5,0.999492,0.001443444,12.0679,1.2199179,1.0481906,-9.345232,17.23464,991.79443,43.030956,36.57849131,128.7639275,
오후 2:57:18,7.260809,-12.522437,151.03224,1.6722704,2.2208343,0.000177925,597989.7,0.999492,0.001443542,12.067703,1.221,1.0489433,-9.344471,17.235836,991.79224,43.03064,36.57849131,128.7639275,
오후 2:57:19,7.2604055,-12.499007,151.03406,1.6679457,2.2151723,0.000176102,599540.5,0.9994921,0.001439575,12.066229,1.208026,1.0402724,-9.353593,17.243935,991.82495,43.021927,36.57849131,128.7639275,
오후 2:57:20,7.2604074,-12.498087,151.03401,1.6677139,2.2148716,0.000176006,599623.7,0.99949217,0.001439361,12.066075,1.2064807,1.0392237,-9.354679,17.244843,991.8262,43.021152,36.57849131,128.7639275,
오후 2:57:21,7.260409,-12.497168,151.03398,1.667482,2.2145712,0.000175909,599706.94,0.99949217,0.001439148,12.065923,1.2049353,1.038175,-9.355765,17.245749,991.8274,43.020382,36.57849131,128.7639275,
오후 2:57:22,7.2593813,-12.440964,151.04846,1.6669863,2.2142842,0.000175827,599848.44,0.9994927,0.001439248,12.064945,1.2055125,1.0387249,-9.355359,17.214739,991.8113,43.011692,36.57849131,128.7639275,
오후 2:57:23,7.2593074,-12.4369,151.04941,1.6668437,2.2141194,0.000175775,599897.44,0.99949276,0.001439151,12.064847,1.2052133,1.038535,-9.35557,17.213043,991.81116,43.010933,36.57849131,128.7639275,
오후 2:57:24,7.2592335,-12.4328375,151.05034,1.666701,2.213955,0.000175723,599946.4,0.9994928,0.001439054,12.064749,1.2049141,1.0383452,-9.35578,17.211346,991.811,43.010174,36.57849131,128.7639275,
오후 2:57:25,7.259961,-12.472682,151.04839,1.6631273,2.209163,0.000174183,601273.3,0.99949294,0.001435949,12.059838,1.2094375,1.0418463,-9.3526,17.202816,991.8367,43.00136,36.57849131,128.7639275,
오후 2:57:26,7.2599792,-12.473667,151.04863,1.662895,2.208861,0.000174086,601358.5,0.999493,0.00143576,12.059512,1.2097118,1.0420628,-9.352407,17.201515,991.8378,43.000595,36.57849131,128.7639275,
오후 2:57:27,7.2594156,-12.442562,151.05058,1.6633682,2.2095437,0.000174309,601188.4,0.9994931,0.001436203,12.058389,1.2050116,1.0388479,-9.355712,17.224155,991.84705,43.00036,36.57849131,128.7639275,
오후 2:57:28,7.2593985,-12.441608,151.05064,1.6633085,2.2094665,0.000174284,601210.9,0.9994931,0.001436153,12.058199,1.2048246,1.03873,-9.355844,17.225365,991.84827,43.000126,36.57849131,128.7639275,
오후 2:57:29,7.2593813,-12.440655,151.05072,1.6632488,2.2093894,0.00017426,601233.4,0.9994931,0.001436103,12.058009,1.2046376,1.0386121,-9.355975,17.226572,991.8495,42.999897,36.57849131,128.7639275,
오후 2:57:30,7.2589784,-12.4184475,151.06334,1.6628782,2.208988,0.000174125,601396.56,0.9994934,0.001435816,12.056453,1.208096,1.0408546,-9.353543,17.243036,992.00726,42.991234,36.57849131,128.7639275,
오후 2:57:31,7.2589393,-12.416283,151.06418,1.6628666,2.2089796,0.000174122,601402.56,0.9994935,0.001435809,12.056327,1.2081951,1.0409147,-9.353474,17.24463,992.01733,42.99069,36.57849131,128.7639275,
